Day,Month,MaxTemp,MeanTemp,MinTemp, MeanHumidity, MaxWind, MeanWind
1,1,47,37,27,45,21,8
2,1,49,42,35,48,12,3
3,1,42,38,34,73,9,3
4,1,67,55,42,68,26,13
5,1,52,41,29,35,28,14
6,1,32,28,24,55,14,5
7,1,30,23,15,49,30,15
8,1,26,19,12,36,24,11
9,1,42,34,26,34,28,12
10,1,30,25,19,32,20,8
11,1,43,32,21,48,10,5
12,1,43,39,35,74,12,4
13,1,42,36,29,54,22,12
14,1,33,30,26,61,13,8
15,1,42,37,32,60,12,6
16,1,48,38,27,61,25,10
17,1,40,34,28,55,20,9
18,1,45,40,34,74,22,5
19,1,50,42,33,55,17,6
20,1,50,41,31,62,9,2
21,1,39,37,34,77,13,5
22,1,49,43,36,64,23,8
23,1,43,37,31,67,13,5
24,1,45,41,37,64,26,10
25,1,52,44,36,53,15,6
26,1,46,38,29,66,22,13
27,1,37,34,30,65,22,15
28,1,39,32,24,40,23,14
29,1,40,33,26,51,14,6
30,1,43,33,23,47,31,16
31,1,36,28,20,46,25,10
1,2,44,36,27,54,9,4
2,2,50,39,27,62,36,12
3,2,39,32,25,36,22,10
4,2,55,42,29,48,17,9
5,2,44,33,21,42,31,17
6,2,38,28,17,39,17,7
7,2,50,38,26,42,13,4
8,2,68,52,35,50,15,5
9,2,45,40,34,69,16,10
10,2,40,37,33,71,21,15
11,2,47,38,29,50,18,8
12,2,44,32,20,53,35,13
13,2,30,23,15,36,28,13
14,2,45,32,18,46,39,14
15,2,22,17,11,33,39,22
16,2,20,15,10,56,21,8
17,2,31,24,17,58,15,6
18,2,34,24,13,63,28,8
19,2,21,16,11,43,28,16
20,2,22,14,5,33,23,9
21,2,35,25,14,62,20,10
22,2,22,14,5,33,23,9
23,2,41,30,19,46,26,15
24,2,30,22,14,44,15,8
25,2,42,32,21,52,16,4
26,2,39,35,31,66,17,7
27,2,42,32,21,52,16,4
28,2,33,27,20,39,15,5
1,3,34,29,24,68,10,6
2,3,46,40,33,60,26,9
3,3,41,36,31,59,18,9
4,3,51,45,39,78,14,6
5,3,45,34,23,72,21,13
6,3,30,23,15,50,21,7
7,3,49,34,19,54,22,8
8,3,59,46,32,48,16,6
9,3,62,50,37,50,12,3
10,3,50,45,39,77,12,4
11,3,67,57,46,67,17,6
12,3,60,52,43,35,18,9
13,3,55,46,37,46,14,5
